Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Asia,Singapore,Cosmetics,Online,M,6/20/2015,415923774,7/29/2015,9942,437.20,263.33,4346642.40,2618026.86,1728615.54
Asia,Singapore,Household,Online,C,1/28/2014,604004561,2/5/2014,7227,668.27,502.54,4829587.29,3631856.58,1197730.71
Asia,Singapore,Vegetables,Offline,H,4/20/2013,257310807,6/5/2013,2841,154.06,90.93,437684.46,258332.13,179352.33
Asia,Singapore,Baby Food,Offline,H,11/5/2014,506582009,11/26/2014,7729,255.28,159.42,1973059.12,1232157.18,740901.94
Asia,Singapore,Fruits,Online,M,5/4/2017,937564504,6/2/2017,5026,9.33,6.92,46892.58,34779.92,12112.66
Asia,Singapore,Personal Care,Offline,C,9/18/2010,369347751,10/25/2010,7062,81.73,56.67,577177.26,400203.54,176973.72
Asia,Singapore,Meat,Online,H,1/20/2011,142146193,3/4/2011,3072,421.89,364.69,1296046.08,1120327.68,175718.40
Asia,Singapore,Vegetables,Online,H,6/16/2015,190244424,7/26/2015,6408,154.06,90.93,987216.48,582679.44,404537.04
Asia,Singapore,Vegetables,Offline,H,11/30/2012,679175508,12/28/2012,1980,154.06,90.93,305038.80,180041.40,124997.40
Asia,Singapore,Clothes,Offline,L,11/24/2013,987423980,1/5/2014,9553,109.28,35.84,1043951.84,342379.52,701572.32
Asia,Singapore,Clothes,Online,L,7/15/2010,665392386,9/2/2010,3248,109.28,35.84,354941.44,116408.32,238533.12
Asia,Singapore,Office Supplies,Offline,C,7/4/2016,273052585,7/29/2016,1182,651.21,524.96,769730.22,620502.72,149227.50
Asia,Singapore,Personal Care,Online,H,2/26/2010,868820130,3/27/2010,2039,81.73,56.67,166647.47,115550.13,51097.34
Asia,Singapore,Meat,Online,H,10/10/2016,730796229,10/16/2016,7699,421.89,364.69,3248131.11,2807748.31,440382.80
Asia,Singapore,Office Supplies,Offline,M,9/30/2013,859504926,10/18/2013,5462,651.21,524.96,3556909.02,2867331.52,689577.50
Asia,Singapore,Baby Food,Online,H,5/19/2012,357876479,6/30/2012,2458,255.28,159.42,627478.24,391854.36,235623.88
Asia,Singapore,Meat,Offline,M,1/16/2012,628765428,3/3/2012,4517,421.89,364.69,1905677.13,1647304.73,258372.40
Asia,Singapore,Vegetables,Offline,C,4/2/2010,988353955,5/5/2010,4754,154.06,90.93,732401.24,432281.22,300120.02
Asia,Singapore,Fruits,Online,M,2/9/2016,400872933,3/11/2016,6064,9.33,6.92,56577.12,41962.88,14614.24
Asia,Singapore,Office Supplies,Online,H,2/19/2010,967962300,4/7/2010,410,651.21,524.96,266996.10,215233.60,51762.50
Asia,Singapore,Clothes,Offline,M,4/30/2012,702611577,5/4/2012,7234,109.28,35.84,790531.52,259266.56,531264.96
Asia,Singapore,Personal Care,Offline,M,1/12/2014,183423030,1/13/2014,7805,81.73,56.67,637902.65,442309.35,195593.30
Asia,Singapore,Cosmetics,Online,M,9/26/2015,961042201,11/7/2015,2599,437.20,263.33,1136282.80,684394.67,451888.13
Asia,Singapore,Baby Food,Offline,L,6/2/2010,335567796,7/13/2010,823,255.28,159.42,210095.44,131202.66,78892.78
Asia,Singapore,Snacks,Offline,L,3/5/2016,175432622,3/7/2016,3266,152.58,97.44,498326.28,318239.04,180087.24
Asia,Singapore,Snacks,Offline,M,12/17/2015,582386815,1/15/2016,55,152.58,97.44,8391.90,5359.20,3032.70
Asia,Singapore,Fruits,Online,M,1/11/2015,698341071,2/1/2015,3496,9.33,6.92,32617.68,24192.32,8425.36
Asia,Singapore,Personal Care,Online,H,3/27/2017,286539590,3/28/2017,2287,81.73,56.67,186916.51,129604.29,57312.22
Asia,Singapore,Cereal,Online,L,3/27/2017,242852199,5/8/2017,4217,205.70,117.11,867436.90,493852.87,373584.03
Asia,Singapore,Household,Online,M,12/10/2012,627341926,12/28/2012,3272,668.27,502.54,2186579.44,1644310.88,542268.56
Asia,Singapore,Cosmetics,Online,H,7/4/2012,362879550,8/6/2012,2978,437.20,263.33,1301981.60,784196.74,517784.86
Asia,Singapore,Meat,Offline,C,2/1/2012,236721742,2/26/2012,79,421.89,364.69,33329.31,28810.51,4518.80
Asia,Singapore,Baby Food,Offline,H,12/22/2010,514037263,2/9/2011,3904,255.28,159.42,996613.12,622375.68,374237.44
Asia,Singapore,Cereal,Offline,H,5/19/2011,917708003,6/2/2011,9046,205.70,117.11,1860762.20,1059377.06,801385.14
Asia,Singapore,Vegetables,Offline,H,8/13/2012,292275226,10/2/2012,9589,154.06,90.93,1477281.34,871927.77,605353.57
Asia,Singapore,Cereal,Online,M,6/13/2015,427691161,7/19/2015,2174,205.70,117.11,447191.80,254597.14,192594.66
Asia,Singapore,Baby Food,Online,L,3/27/2017,330226981,4/8/2017,357,255.28,159.42,91134.96,56912.94,34222.02
Asia,Singapore,Personal Care,Online,M,3/27/2015,878332746,4/20/2015,7033,81.73,56.67,574807.09,398560.11,176246.98
Asia,Singapore,Fruits,Offline,H,5/13/2011,754725825,6/2/2011,8998,9.33,6.92,83951.34,62266.16,21685.18
Asia,Singapore,Vegetables,Offline,L,7/24/2014,326351296,9/10/2014,3456,154.06,90.93,532431.36,314254.08,218177.28
Asia,Singapore,Office Supplies,Online,C,3/29/2016,849992311,4/21/2016,468,651.21,524.96,304766.28,245681.28,59085.00
Asia,Singapore,Beverages,Offline,C,7/13/2011,101939666,8/9/2011,5067,47.45,31.79,240429.15,161079.93,79349.22
Asia,Singapore,Meat,Offline,M,6/20/2013,460837256,8/2/2013,840,421.89,364.69,354387.60,306339.60,48048.00
Asia,Singapore,Cosmetics,Online,C,12/29/2011,382933461,1/29/2012,7376,437.20,263.33,3224787.20,1942322.08,1282465.12
Asia,Singapore,Cosmetics,Online,M,6/20/2015,415923774,7/29/2015,9942,437.20,263.33,4346642.40,2618026.86,1728615.54
Asia,Singapore,Household,Online,C,1/28/2014,604004561,2/5/2014,7227,668.27,502.54,4829587.29,3631856.58,1197730.71
Asia,Singapore,Vegetables,Offline,H,4/20/2013,257310807,6/5/2013,2841,154.06,90.93,437684.46,258332.13,179352.33
Asia,Singapore,Baby Food,Offline,H,11/5/2014,506582009,11/26/2014,7729,255.28,159.42,1973059.12,1232157.18,740901.94
Asia,Singapore,Fruits,Online,M,5/4/2017,937564504,6/2/2017,5026,9.33,6.92,46892.58,34779.92,12112.66
Asia,Singapore,Personal Care,Offline,C,9/18/2010,369347751,10/25/2010,7062,81.73,56.67,577177.26,400203.54,176973.72
Asia,Singapore,Meat,Online,H,1/20/2011,142146193,3/4/2011,3072,421.89,364.69,1296046.08,1120327.68,175718.40
Asia,Singapore,Vegetables,Online,H,6/16/2015,190244424,7/26/2015,6408,154.06,90.93,987216.48,582679.44,404537.04
Asia,Singapore,Vegetables,Offline,H,11/30/2012,679175508,12/28/2012,1980,154.06,90.93,305038.80,180041.40,124997.40
Asia,Singapore,Clothes,Offline,L,11/24/2013,987423980,1/5/2014,9553,109.28,35.84,1043951.84,342379.52,701572.32
Asia,Singapore,Clothes,Online,L,7/15/2010,665392386,9/2/2010,3248,109.28,35.84,354941.44,116408.32,238533.12
Asia,Singapore,Office Supplies,Offline,C,7/4/2016,273052585,7/29/2016,1182,651.21,524.96,769730.22,620502.72,149227.50
Asia,Singapore,Personal Care,Online,H,2/26/2010,868820130,3/27/2010,2039,81.73,56.67,166647.47,115550.13,51097.34
Asia,Singapore,Meat,Online,H,10/10/2016,730796229,10/16/2016,7699,421.89,364.69,3248131.11,2807748.31,440382.80
Asia,Singapore,Office Supplies,Offline,M,9/30/2013,859504926,10/18/2013,5462,651.21,524.96,3556909.02,2867331.52,689577.50
Asia,Singapore,Baby Food,Online,H,5/19/2012,357876479,6/30/2012,2458,255.28,159.42,627478.24,391854.36,235623.88
Asia,Singapore,Meat,Offline,M,1/16/2012,628765428,3/3/2012,4517,421.89,364.69,1905677.13,1647304.73,258372.40
Asia,Singapore,Vegetables,Offline,C,4/2/2010,988353955,5/5/2010,4754,154.06,90.93,732401.24,432281.22,300120.02
Asia,Singapore,Fruits,Online,M,2/9/2016,400872933,3/11/2016,6064,9.33,6.92,56577.12,41962.88,14614.24
Asia,Singapore,Office Supplies,Online,H,2/19/2010,967962300,4/7/2010,410,651.21,524.96,266996.10,215233.60,51762.50
Asia,Singapore,Clothes,Offline,M,4/30/2012,702611577,5/4/2012,7234,109.28,35.84,790531.52,259266.56,531264.96
Asia,Singapore,Personal Care,Offline,M,1/12/2014,183423030,1/13/2014,7805,81.73,56.67,637902.65,442309.35,195593.30
Asia,Singapore,Cosmetics,Online,M,9/26/2015,961042201,11/7/2015,2599,437.20,263.33,1136282.80,684394.67,451888.13
Asia,Singapore,Baby Food,Offline,L,6/2/2010,335567796,7/13/2010,823,255.28,159.42,210095.44,131202.66,78892.78
Asia,Singapore,Snacks,Offline,L,3/5/2016,175432622,3/7/2016,3266,152.58,97.44,498326.28,318239.04,180087.24
Asia,Singapore,Snacks,Offline,M,12/17/2015,582386815,1/15/2016,55,152.58,97.44,8391.90,5359.20,3032.70
Asia,Singapore,Fruits,Online,M,1/11/2015,698341071,2/1/2015,3496,9.33,6.92,32617.68,24192.32,8425.36
Asia,Singapore,Personal Care,Online,H,3/27/2017,286539590,3/28/2017,2287,81.73,56.67,186916.51,129604.29,57312.22
Asia,Singapore,Cereal,Online,L,3/27/2017,242852199,5/8/2017,4217,205.70,117.11,867436.90,493852.87,373584.03
Asia,Singapore,Household,Online,M,12/10/2012,627341926,12/28/2012,3272,668.27,502.54,2186579.44,1644310.88,542268.56
Asia,Singapore,Cosmetics,Online,H,7/4/2012,362879550,8/6/2012,2978,437.20,263.33,1301981.60,784196.74,517784.86
Asia,Singapore,Meat,Offline,C,2/1/2012,236721742,2/26/2012,79,421.89,364.69,33329.31,28810.51,4518.80
Asia,Singapore,Baby Food,Offline,H,12/22/2010,514037263,2/9/2011,3904,255.28,159.42,996613.12,622375.68,374237.44
Asia,Singapore,Cereal,Offline,H,5/19/2011,917708003,6/2/2011,9046,205.70,117.11,1860762.20,1059377.06,801385.14
Asia,Singapore,Vegetables,Offline,H,8/13/2012,292275226,10/2/2012,9589,154.06,90.93,1477281.34,871927.77,605353.57
Asia,Singapore,Cereal,Online,M,6/13/2015,427691161,7/19/2015,2174,205.70,117.11,447191.80,254597.14,192594.66
Asia,Singapore,Baby Food,Online,L,3/27/2017,330226981,4/8/2017,357,255.28,159.42,91134.96,56912.94,34222.02
Asia,Singapore,Personal Care,Online,M,3/27/2015,878332746,4/20/2015,7033,81.73,56.67,574807.09,398560.11,176246.98
Asia,Singapore,Fruits,Offline,H,5/13/2011,754725825,6/2/2011,8998,9.33,6.92,83951.34,62266.16,21685.18
Asia,Singapore,Vegetables,Offline,L,7/24/2014,326351296,9/10/2014,3456,154.06,90.93,532431.36,314254.08,218177.28
Asia,Singapore,Office Supplies,Online,C,3/29/2016,849992311,4/21/2016,468,651.21,524.96,304766.28,245681.28,59085.00
Asia,Singapore,Beverages,Offline,C,7/13/2011,101939666,8/9/2011,5067,47.45,31.79,240429.15,161079.93,79349.22
Asia,Singapore,Meat,Offline,M,6/20/2013,460837256,8/2/2013,840,421.89,364.69,354387.60,306339.60,48048.00
Asia,Singapore,Cosmetics,Online,C,12/29/2011,382933461,1/29/2012,7376,437.20,263.33,3224787.20,1942322.08,1282465.12
Asia,Singapore,Cosmetics,Online,M,6/20/2015,415923774,7/29/2015,9942,437.20,263.33,4346642.40,2618026.86,1728615.54
Asia,Singapore,Household,Online,C,1/28/2014,604004561,2/5/2014,7227,668.27,502.54,4829587.29,3631856.58,1197730.71
Asia,Singapore,Vegetables,Offline,H,4/20/2013,257310807,6/5/2013,2841,154.06,90.93,437684.46,258332.13,179352.33
Asia,Singapore,Baby Food,Offline,H,11/5/2014,506582009,11/26/2014,7729,255.28,159.42,1973059.12,1232157.18,740901.94
Asia,Singapore,Fruits,Online,M,5/4/2017,937564504,6/2/2017,5026,9.33,6.92,46892.58,34779.92,12112.66
Asia,Singapore,Personal Care,Offline,C,9/18/2010,369347751,10/25/2010,7062,81.73,56.67,577177.26,400203.54,176973.72
Asia,Singapore,Meat,Online,H,1/20/2011,142146193,3/4/2011,3072,421.89,364.69,1296046.08,1120327.68,175718.40
Asia,Singapore,Vegetables,Online,H,6/16/2015,190244424,7/26/2015,6408,154.06,90.93,987216.48,582679.44,404537.04
Asia,Singapore,Vegetables,Offline,H,11/30/2012,679175508,12/28/2012,1980,154.06,90.93,305038.80,180041.40,124997.40
Asia,Singapore,Clothes,Offline,L,11/24/2013,987423980,1/5/2014,9553,109.28,35.84,1043951.84,342379.52,701572.32
Asia,Singapore,Clothes,Online,L,7/15/2010,665392386,9/2/2010,3248,109.28,35.84,354941.44,116408.32,238533.12
Asia,Singapore,Office Supplies,Offline,C,7/4/2016,273052585,7/29/2016,1182,651.21,524.96,769730.22,620502.72,149227.50
Asia,Singapore,Personal Care,Online,H,2/26/2010,868820130,3/27/2010,2039,81.73,56.67,166647.47,115550.13,51097.34
Asia,Singapore,Meat,Online,H,10/10/2016,730796229,10/16/2016,7699,421.89,364.69,3248131.11,2807748.31,440382.80
Asia,Singapore,Office Supplies,Offline,M,9/30/2013,859504926,10/18/2013,5462,651.21,524.96,3556909.02,2867331.52,689577.50
Asia,Singapore,Baby Food,Online,H,5/19/2012,357876479,6/30/2012,2458,255.28,159.42,627478.24,391854.36,235623.88
Asia,Singapore,Meat,Offline,M,1/16/2012,628765428,3/3/2012,4517,421.89,364.69,1905677.13,1647304.73,258372.40
Asia,Singapore,Vegetables,Offline,C,4/2/2010,988353955,5/5/2010,4754,154.06,90.93,732401.24,432281.22,300120.02
Asia,Singapore,Fruits,Online,M,2/9/2016,400872933,3/11/2016,6064,9.33,6.92,56577.12,41962.88,14614.24
Asia,Singapore,Office Supplies,Online,H,2/19/2010,967962300,4/7/2010,410,651.21,524.96,266996.10,215233.60,51762.50
Asia,Singapore,Clothes,Offline,M,4/30/2012,702611577,5/4/2012,7234,109.28,35.84,790531.52,259266.56,531264.96
Asia,Singapore,Personal Care,Offline,M,1/12/2014,183423030,1/13/2014,7805,81.73,56.67,637902.65,442309.35,195593.30
Asia,Singapore,Cosmetics,Online,M,9/26/2015,961042201,11/7/2015,2599,437.20,263.33,1136282.80,684394.67,451888.13
Asia,Singapore,Baby Food,Offline,L,6/2/2010,335567796,7/13/2010,823,255.28,159.42,210095.44,131202.66,78892.78
Asia,Singapore,Snacks,Offline,L,3/5/2016,175432622,3/7/2016,3266,152.58,97.44,498326.28,318239.04,180087.24
Asia,Singapore,Snacks,Offline,M,12/17/2015,582386815,1/15/2016,55,152.58,97.44,8391.90,5359.20,3032.70
Asia,Singapore,Fruits,Online,M,1/11/2015,698341071,2/1/2015,3496,9.33,6.92,32617.68,24192.32,8425.36
Asia,Singapore,Personal Care,Online,H,3/27/2017,286539590,3/28/2017,2287,81.73,56.67,186916.51,129604.29,57312.22
Asia,Singapore,Cereal,Online,L,3/27/2017,242852199,5/8/2017,4217,205.70,117.11,867436.90,493852.87,373584.03
Asia,Singapore,Household,Online,M,12/10/2012,627341926,12/28/2012,3272,668.27,502.54,2186579.44,1644310.88,542268.56
